Cloud,Name,vCPU,MemoryMiB
Azure,Standard_L80as_v3,80,655360
Azure,Standard_D2a_v4,2,8192
Azure,Standard_D4a_v4,4,16384
Azure,Standard_D8a_v4,8,32768
Azure,Standard_D16a_v4,16,65536
Azure,Standard_D32a_v4,32,131072
Azure,Standard_D48a_v4,48,196608
Azure,Standard_D64a_v4,64,262144
Azure,Standard_D96a_v4,96,393216
Azure,Standard_D2as_v4,2,8192
Azure,Standard_D4as_v4,4,16384
Azure,Standard_D8as_v4,8,32768
Azure,Standard_D16as_v4,16,65536
Azure,Standard_D32as_v4,32,131072
Azure,Standard_D48as_v4,48,196608
Azure,Standard_D64as_v4,64,262144
Azure,Standard_D96as_v4,96,393216
Azure,Standard_E2a_v4,2,16384
Azure,Standard_E4a_v4,4,32768
Azure,Standard_E8a_v4,8,65536
Azure,Standard_E16a_v4,16,131072
Azure,Standard_E20a_v4,20,163840
Azure,Standard_E32a_v4,32,262144
Azure,Standard_E48a_v4,48,393216
Azure,Standard_E64a_v4,64,524288
Azure,Standard_E96a_v4,96,688128
Azure,Standard_E2as_v4,2,16384
Azure,Standard_E4-2as_v4,4,32768
Azure,Standard_E4as_v4,4,32768
Azure,Standard_E8-2as_v4,8,65536
Azure,Standard_E8-4as_v4,8,65536
Azure,Standard_E8as_v4,8,65536
Azure,Standard_E16-4as_v4,16,131072
Azure,Standard_E16-8as_v4,16,131072
Azure,Standard_E16as_v4,16,131072
Azure,Standard_E20as_v4,20,163840
Azure,Standard_E32-8as_v4,32,262144
Azure,Standard_E32-16as_v4,32,262144
Azure,Standard_E32as_v4,32,262144
Azure,Standard_E48as_v4,48,393216
Azure,Standard_E64-16as_v4,64,524288
Azure,Standard_E64-32as_v4,64,524288
Azure,Standard_E64as_v4,64,524288
Azure,Standard_E96-24as_v4,96,688128
Azure,Standard_E96-48as_v4,96,688128
Azure,Standard_E96as_v4,96,688128
Azure,Standard_D2as_v5,2,8192
Azure,Standard_D4as_v5,4,16384
Azure,Standard_D8as_v5,8,32768
Azure,Standard_D16as_v5,16,65536
Azure,Standard_D32as_v5,32,131072
Azure,Standard_D48as_v5,48,196608
Azure,Standard_D64as_v5,64,262144
Azure,Standard_D96as_v5,96,393216
Azure,Standard_E2as_v5,2,16384
Azure,Standard_E4-2as_v5,4,32768
Azure,Standard_E4as_v5,4,32768
Azure,Standard_E8-2as_v5,8,65536
Azure,Standard_E8-4as_v5,8,65536
Azure,Standard_E8as_v5,8,65536
Azure,Standard_E16-4as_v5,16,131072
Azure,Standard_E16-8as_v5,16,131072
Azure,Standard_E16as_v5,16,131072
Azure,Standard_E20as_v5,20,163840
Azure,Standard_E32-8as_v5,32,262144
Azure,Standard_E32-16as_v5,32,262144
Azure,Standard_E32as_v5,32,262144
Azure,Standard_E48as_v5,48,393216
Azure,Standard_E64-16as_v5,64,524288
Azure,Standard_E64-32as_v5,64,524288
Azure,Standard_E64as_v5,64,524288
Azure,Standard_E96-24as_v5,96,688128
Azure,Standard_E96-48as_v5,96,688128
Azure,Standard_E96as_v5,96,688128
Azure,Standard_D2ads_v5,2,8192
Azure,Standard_D4ads_v5,4,16384
Azure,Standard_D8ads_v5,8,32768
Azure,Standard_D16ads_v5,16,65536
Azure,Standard_D32ads_v5,32,131072
Azure,Standard_D48ads_v5,48,196608
Azure,Standard_D64ads_v5,64,262144
Azure,Standard_D96ads_v5,96,393216
Azure,Standard_E2ads_v5,2,16384
Azure,Standard_E4-2ads_v5,4,32768
Azure,Standard_E4ads_v5,4,32768
Azure,Standard_E8-2ads_v5,8,65536
Azure,Standard_E8-4ads_v5,8,65536
Azure,Standard_E8ads_v5,8,65536
Azure,Standard_E16-4ads_v5,16,131072
Azure,Standard_E16-8ads_v5,16,131072
Azure,Standard_E16ads_v5,16,131072
Azure,Standard_E20ads_v5,20,163840
Azure,Standard_E32-8ads_v5,32,262144
Azure,Standard_E32-16ads_v5,32,262144
Azure,Standard_E32ads_v5,32,262144
Azure,Standard_E48ads_v5,48,393216
Azure,Standard_E64-16ads_v5,64,524288
Azure,Standard_E64-32ads_v5,64,524288
Azure,Standard_E64ads_v5,64,524288
Azure,Standard_E96-24ads_v5,96,688128
Azure,Standard_E96-48ads_v5,96,688128
Azure,Standard_E96ads_v5,96,688128
Azure,Standard_E112ias_v5,112,688128
Azure,Standard_E112iads_v5,112,688128
Azure,Standard_B2als_v2,2,4096
Azure,Standard_B2as_v2,2,8192
Azure,Standard_B2ats_v2,2,1024
Azure,Standard_B4als_v2,4,8192
Azure,Standard_B4as_v2,4,16384
Azure,Standard_B8als_v2,8,16384
Azure,Standard_B8as_v2,8,32768
Azure,Standard_B16als_v2,16,32768
Azure,Standard_B16as_v2,16,65536
Azure,Standard_B32als_v2,32,65536
Azure,Standard_B32as_v2,32,131072
Azure,Standard_B1ls,1,512
Azure,Standard_B1ms,1,2048
Azure,Standard_B1s,1,1024
Azure,Standard_B2ms,2,8192
Azure,Standard_B2s,2,4096
Azure,Standard_B4ms,4,16384
Azure,Standard_B8ms,8,32768
Azure,Standard_B12ms,12,49152
Azure,Standard_B16ms,16,65536
Azure,Standard_B20ms,20,81920
Azure,Standard_D1_v2,1,3584
Azure,Standard_D2_v2,2,7168
Azure,Standard_D3_v2,4,14336
Azure,Standard_D4_v2,8,28672
Azure,Standard_D5_v2,16,57344
Azure,Standard_D11_v2,2,14336
Azure,Standard_D12_v2,4,28672
Azure,Standard_D13_v2,8,57344
Azure,Standard_D14_v2,16,114688
Azure,Standard_D15_v2,20,143360
Azure,Standard_D2_v2_Promo,2,7168
Azure,Standard_D3_v2_Promo,4,14336
Azure,Standard_D4_v2_Promo,8,28672
Azure,Standard_D5_v2_Promo,16,57344
Azure,Standard_D11_v2_Promo,2,14336
Azure,Standard_D12_v2_Promo,4,28672
Azure,Standard_D13_v2_Promo,8,57344
Azure,Standard_D14_v2_Promo,16,114688
Azure,Standard_DS2_v2_Promo,2,7168
Azure,Standard_DS3_v2_Promo,4,14336
Azure,Standard_DS4_v2_Promo,8,28672
Azure,Standard_DS5_v2_Promo,16,57344
Azure,Standard_DS11_v2_Promo,2,14336
Azure,Standard_DS12_v2_Promo,4,28672
Azure,Standard_DS13_v2_Promo,8,57344
Azure,Standard_DS14_v2_Promo,16,114688
Azure,Standard_F1,1,2048
Azure,Standard_F2,2,4096
Azure,Standard_F4,4,8192
Azure,Standard_F8,8,16384
Azure,Standard_F16,16,32768
Azure,Standard_A1_v2,1,2048
Azure,Standard_A2m_v2,2,16384
Azure,Standard_A2_v2,2,4096
Azure,Standard_A4m_v2,4,32768
Azure,Standard_A4_v2,4,8192
Azure,Standard_A8m_v2,8,65536
Azure,Standard_A8_v2,8,16384
Azure,Standard_D2_v3,2,8192
Azure,Standard_D4_v3,4,16384
Azure,Standard_D8_v3,8,32768
Azure,Standard_D16_v3,16,65536
Azure,Standard_D32_v3,32,131072
Azure,Standard_D48_v3,48,196608
Azure,Standard_D64_v3,64,262144
Azure,Standard_E2_v3,2,16384
Azure,Standard_E4_v3,4,32768
Azure,Standard_E8_v3,8,65536
Azure,Standard_E16_v3,16,131072
Azure,Standard_E20_v3,20,163840
Azure,Standard_E32_v3,32,262144
Azure,Standard_E48_v3,48,393216
Azure,Standard_E64_v3,64,442368
Azure,Standard_D1,1,3584
Azure,Standard_D2,2,7168
Azure,Standard_D3,4,14336
Azure,Standard_D4,8,28672
Azure,Standard_D11,2,14336
Azure,Standard_D12,4,28672
Azure,Standard_D13,8,57344
Azure,Standard_D14,16,114688
Azure,Standard_DS1_v2,1,3584
Azure,Standard_DS2_v2,2,7168
Azure,Standard_DS3_v2,4,14336
Azure,Standard_DS4_v2,8,28672
Azure,Standard_DS5_v2,16,57344
Azure,Standard_DS11-1_v2,2,14336
Azure,Standard_DS11_v2,2,14336
Azure,Standard_DS12-1_v2,4,28672
Azure,Standard_DS12-2_v2,4,28672
Azure,Standard_DS12_v2,4,28672
Azure,Standard_DS13-2_v2,8,57344
Azure,Standard_DS13-4_v2,8,57344
Azure,Standard_DS13_v2,8,57344
Azure,Standard_DS14-4_v2,16,114688
Azure,Standard_DS14-8_v2,16,114688
Azure,Standard_DS14_v2,16,114688
Azure,Standard_DS15_v2,20,143360
Azure,Standard_F1s,1,2048
Azure,Standard_F2s,2,4096
Azure,Standard_F4s,4,8192
Azure,Standard_F8s,8,16384
Azure,Standard_F16s,16,32768
Azure,Standard_D2s_v3,2,8192
Azure,Standard_D4s_v3,4,16384
Azure,Standard_D8s_v3,8,32768
Azure,Standard_D16s_v3,16,65536
Azure,Standard_D32s_v3,32,131072
Azure,Standard_D48s_v3,48,196608
Azure,Standard_D64s_v3,64,262144
Azure,Standard_E2s_v3,2,16384
Azure,Standard_E4-2s_v3,4,32768
Azure,Standard_E4s_v3,4,32768
Azure,Standard_E8-2s_v3,8,65536
Azure,Standard_E8-4s_v3,8,65536
Azure,Standard_E8s_v3,8,65536
Azure,Standard_E16-4s_v3,16,131072
Azure,Standard_E16-8s_v3,16,131072
Azure,Standard_E16s_v3,16,131072
Azure,Standard_E20s_v3,20,163840
Azure,Standard_E32-8s_v3,32,262144
Azure,Standard_E32-16s_v3,32,262144
Azure,Standard_E32s_v3,32,262144
Azure,Standard_E48s_v3,48,393216
Azure,Standard_E64-16s_v3,64,442368
Azure,Standard_E64-32s_v3,64,442368
Azure,Standard_E64s_v3,64,442368
Azure,Standard_DS1,1,3584
Azure,Standard_DS2,2,7168
Azure,Standard_DS3,4,14336
Azure,Standard_DS4,8,28672
Azure,Standard_DS11,2,14336
Azure,Standard_DS12,4,28672
Azure,Standard_DS13,8,57344
Azure,Standard_DS14,16,114688
Azure,Standard_E2_v4,2,16384
Azure,Standard_E4_v4,4,32768
Azure,Standard_E8_v4,8,65536
Azure,Standard_E16_v4,16,131072
Azure,Standard_E20_v4,20,163840
Azure,Standard_E32_v4,32,262144
Azure,Standard_E48_v4,48,393216
Azure,Standard_E64_v4,64,516096
Azure,Standard_E2d_v4,2,16384
Azure,Standard_E4d_v4,4,32768
Azure,Standard_E8d_v4,8,65536
Azure,Standard_E16d_v4,16,131072
Azure,Standard_E20d_v4,20,163840
Azure,Standard_E32d_v4,32,262144
Azure,Standard_E48d_v4,48,393216
Azure,Standard_E64d_v4,64,516096
Azure,Standard_E2s_v4,2,16384
Azure,Standard_E4-2s_v4,4,32768
Azure,Standard_E4s_v4,4,32768
Azure,Standard_E8-2s_v4,8,65536
Azure,Standard_E8-4s_v4,8,65536
Azure,Standard_E8s_v4,8,65536
Azure,Standard_E16-4s_v4,16,131072
Azure,Standard_E16-8s_v4,16,131072
Azure,Standard_E16s_v4,16,131072
Azure,Standard_E20s_v4,20,163840
Azure,Standard_E32-8s_v4,32,262144
Azure,Standard_E32-16s_v4,32,262144
Azure,Standard_E32s_v4,32,262144
Azure,Standard_E48s_v4,48,393216
Azure,Standard_E64-16s_v4,64,516096
Azure,Standard_E64-32s_v4,64,516096
Azure,Standard_E64s_v4,64,516096
Azure,Standard_E80is_v4,80,516096
Azure,Standard_E2ds_v4,2,16384
Azure,Standard_E4-2ds_v4,4,32768
Azure,Standard_E4ds_v4,4,32768
Azure,Standard_E8-2ds_v4,8,65536
Azure,Standard_E8-4ds_v4,8,65536
Azure,Standard_E8ds_v4,8,65536
Azure,Standard_E16-4ds_v4,16,131072
Azure,Standard_E16-8ds_v4,16,131072
Azure,Standard_E16ds_v4,16,131072
Azure,Standard_E20ds_v4,20,163840
Azure,Standard_E32-8ds_v4,32,262144
Azure,Standard_E32-16ds_v4,32,262144
Azure,Standard_E32ds_v4,32,262144
Azure,Standard_E48ds_v4,48,393216
Azure,Standard_E64-16ds_v4,64,516096
Azure,Standard_E64-32ds_v4,64,516096
Azure,Standard_E64ds_v4,64,516096
Azure,Standard_E80ids_v4,80,516096
Azure,Standard_D2d_v4,2,8192
Azure,Standard_D4d_v4,4,16384
Azure,Standard_D8d_v4,8,32768
Azure,Standard_D16d_v4,16,65536
Azure,Standard_D32d_v4,32,131072
Azure,Standard_D48d_v4,48,196608
Azure,Standard_D64d_v4,64,262144
Azure,Standard_D2_v4,2,8192
Azure,Standard_D4_v4,4,16384
Azure,Standard_D8_v4,8,32768
Azure,Standard_D16_v4,16,65536
Azure,Standard_D32_v4,32,131072
Azure,Standard_D48_v4,48,196608
Azure,Standard_D64_v4,64,262144
Azure,Standard_D2ds_v4,2,8192
Azure,Standard_D4ds_v4,4,16384
Azure,Standard_D8ds_v4,8,32768
Azure,Standard_D16ds_v4,16,65536
Azure,Standard_D32ds_v4,32,131072
Azure,Standard_D48ds_v4,48,196608
Azure,Standard_D64ds_v4,64,262144
Azure,Standard_D2s_v4,2,8192
Azure,Standard_D4s_v4,4,16384
Azure,Standard_D8s_v4,8,32768
Azure,Standard_D16s_v4,16,65536
Azure,Standard_D32s_v4,32,131072
Azure,Standard_D48s_v4,48,196608
Azure,Standard_D64s_v4,64,262144
Azure,Standard_F2s_v2,2,4096
Azure,Standard_F4s_v2,4,8192
Azure,Standard_F8s_v2,8,16384
Azure,Standard_F16s_v2,16,32768
Azure,Standard_F32s_v2,32,65536
Azure,Standard_F48s_v2,48,98304
Azure,Standard_F64s_v2,64,131072
Azure,Standard_F72s_v2,72,147456
Azure,Standard_M64,64,1048576
Azure,Standard_M64m,64,1835008
Azure,Standard_M128,128,2097152
Azure,Standard_M128m,128,3985408
Azure,Standard_M8-2ms,8,224000
Azure,Standard_M8-4ms,8,224000
Azure,Standard_M8ms,8,224000
Azure,Standard_M16-4ms,16,448000
Azure,Standard_M16-8ms,16,448000
Azure,Standard_M16ms,16,448000
Azure,Standard_M32-8ms,32,896000
Azure,Standard_M32-16ms,32,896000
Azure,Standard_M32ls,32,262144
Azure,Standard_M32ms,32,896000
Azure,Standard_M32ts,32,196608
Azure,Standard_M64-16ms,64,1835008
Azure,Standard_M64-32ms,64,1835008
Azure,Standard_M64ls,64,524288
Azure,Standard_M64ms,64,1835008
Azure,Standard_M64s,64,1048576
Azure,Standard_M128-32ms,128,3985408
Azure,Standard_M128-64ms,128,3985408
Azure,Standard_M128ms,128,3985408
Azure,Standard_M128s,128,2097152
Azure,Standard_M32ms_v2,32,896000
Azure,Standard_M64ms_v2,64,1835008
Azure,Standard_M64s_v2,64,1048576
Azure,Standard_M128ms_v2,128,3985408
Azure,Standard_M128s_v2,128,2097152
Azure,Standard_M192ims_v2,192,4194304
Azure,Standard_M192is_v2,192,2097152
Azure,Standard_M32dms_v2,32,896000
Azure,Standard_M64dms_v2,64,1835008
Azure,Standard_M64ds_v2,64,1048576
Azure,Standard_M128dms_v2,128,3985408
Azure,Standard_M128ds_v2,128,2097152
Azure,Standard_M192idms_v2,192,4194304
Azure,Standard_M192ids_v2,192,2097152
Azure,Standard_DC2as_v5,2,8192
Azure,Standard_DC4as_v5,4,16384
Azure,Standard_DC8as_v5,8,32768
Azure,Standard_DC16as_v5,16,65536
Azure,Standard_DC32as_v5,32,131072
Azure,Standard_DC48as_v5,48,196608
Azure,Standard_DC64as_v5,64,262144
Azure,Standard_DC96as_v5,96,393216
Azure,Standard_DC2ads_v5,2,8192
Azure,Standard_DC4ads_v5,4,16384
Azure,Standard_DC8ads_v5,8,32768
Azure,Standard_DC16ads_v5,16,65536
Azure,Standard_DC32ads_v5,32,131072
Azure,Standard_DC48ads_v5,48,196608
Azure,Standard_DC64ads_v5,64,262144
Azure,Standard_DC96ads_v5,96,393216
Azure,Standard_EC2as_v5,2,16384
Azure,Standard_EC4as_v5,4,32768
Azure,Standard_EC8as_v5,8,65536
Azure,Standard_EC16as_v5,16,131072
Azure,Standard_EC20as_v5,20,163840
Azure,Standard_EC32as_v5,32,196608
Azure,Standard_EC48as_v5,48,393216
Azure,Standard_EC64as_v5,64,524288
Azure,Standard_EC96as_v5,96,688128
Azure,Standard_EC96ias_v5,96,688128
Azure,Standard_EC2ads_v5,2,16384
Azure,Standard_EC4ads_v5,4,32768
Azure,Standard_EC8ads_v5,8,65536
Azure,Standard_EC16ads_v5,16,131072
Azure,Standard_EC20ads_v5,20,163840
Azure,Standard_EC32ads_v5,32,196608
Azure,Standard_EC48ads_v5,48,393216
Azure,Standard_EC64ads_v5,64,524288
Azure,Standard_EC96ads_v5,96,688128
Azure,Standard_EC96iads_v5,96,688128
Azure,Standard_DC4as_cc_v5,4,16384
Azure,Standard_DC8as_cc_v5,8,32768
Azure,Standard_DC16as_cc_v5,16,65536
Azure,Standard_DC32as_cc_v5,32,131072
Azure,Standard_DC48as_cc_v5,48,196608
Azure,Standard_DC64as_cc_v5,64,262144
Azure,Standard_DC96as_cc_v5,96,393216
Azure,Standard_DC4ads_cc_v5,4,16384
Azure,Standard_DC8ads_cc_v5,8,32768
Azure,Standard_DC16ads_cc_v5,16,65536
Azure,Standard_DC32ads_cc_v5,32,131072
Azure,Standard_DC48ads_cc_v5,48,196608
Azure,Standard_DC64ads_cc_v5,64,262144
Azure,Standard_DC96ads_cc_v5,96,393216
Azure,Standard_EC4as_cc_v5,4,32768
Azure,Standard_EC8as_cc_v5,8,65536
Azure,Standard_EC16as_cc_v5,16,131072
Azure,Standard_EC20as_cc_v5,20,163840
Azure,Standard_EC32as_cc_v5,32,196608
Azure,Standard_EC48as_cc_v5,48,393216
Azure,Standard_EC64as_cc_v5,64,524288
Azure,Standard_EC96as_cc_v5,96,688128
Azure,Standard_EC4ads_cc_v5,4,32768
Azure,Standard_EC8ads_cc_v5,8,65536
Azure,Standard_EC16ads_cc_v5,16,131072
Azure,Standard_EC20ads_cc_v5,20,163840
Azure,Standard_EC32ads_cc_v5,32,196608
Azure,Standard_EC48ads_cc_v5,48,393216
Azure,Standard_EC64ads_cc_v5,64,524288
Azure,Standard_EC96ads_cc_v5,96,688128
Azure,Standard_E96ias_v4,96,688128
Azure,Standard_D2ds_v5,2,8192
Azure,Standard_D4ds_v5,4,16384
Azure,Standard_D8ds_v5,8,32768
Azure,Standard_D16ds_v5,16,65536
Azure,Standard_D32ds_v5,32,131072
Azure,Standard_D48ds_v5,48,196608
Azure,Standard_D64ds_v5,64,262144
Azure,Standard_D96ds_v5,96,393216
Azure,Standard_D2d_v5,2,8192
Azure,Standard_D4d_v5,4,16384
Azure,Standard_D8d_v5,8,32768
Azure,Standard_D16d_v5,16,65536
Azure,Standard_D32d_v5,32,131072
Azure,Standard_D48d_v5,48,196608
Azure,Standard_D64d_v5,64,262144
Azure,Standard_D96d_v5,96,393216
Azure,Standard_D2s_v5,2,8192
Azure,Standard_D4s_v5,4,16384
Azure,Standard_D8s_v5,8,32768
Azure,Standard_D16s_v5,16,65536
Azure,Standard_D32s_v5,32,131072
Azure,Standard_D48s_v5,48,196608
Azure,Standard_D64s_v5,64,262144
Azure,Standard_D96s_v5,96,393216
Azure,Standard_D2_v5,2,8192
Azure,Standard_D4_v5,4,16384
Azure,Standard_D8_v5,8,32768
Azure,Standard_D16_v5,16,65536
Azure,Standard_D32_v5,32,131072
Azure,Standard_D48_v5,48,196608
Azure,Standard_D64_v5,64,262144
Azure,Standard_D96_v5,96,393216
Azure,Standard_E2ds_v5,2,16384
Azure,Standard_E4-2ds_v5,4,32768
Azure,Standard_E4ds_v5,4,32768
Azure,Standard_E8-2ds_v5,8,65536
Azure,Standard_E8-4ds_v5,8,65536
Azure,Standard_E8ds_v5,8,65536
Azure,Standard_E16-4ds_v5,16,131072
Azure,Standard_E16-8ds_v5,16,131072
Azure,Standard_E16ds_v5,16,131072
Azure,Standard_E20ds_v5,20,163840
Azure,Standard_E32-8ds_v5,32,262144
Azure,Standard_E32-16ds_v5,32,262144
Azure,Standard_E32ds_v5,32,262144
Azure,Standard_E48ds_v5,48,393216
Azure,Standard_E64-16ds_v5,64,524288
Azure,Standard_E64-32ds_v5,64,524288
Azure,Standard_E64ds_v5,64,524288
Azure,Standard_E96-24ds_v5,96,688128
Azure,Standard_E96-48ds_v5,96,688128
Azure,Standard_E96ds_v5,96,688128
Azure,Standard_E104ids_v5,104,688128
Azure,Standard_E2d_v5,2,16384
Azure,Standard_E4d_v5,4,32768
Azure,Standard_E8d_v5,8,65536
Azure,Standard_E16d_v5,16,131072
Azure,Standard_E20d_v5,20,163840
Azure,Standard_E32d_v5,32,262144
Azure,Standard_E48d_v5,48,393216
Azure,Standard_E64d_v5,64,524288
Azure,Standard_E96d_v5,96,688128
Azure,Standard_E104id_v5,104,688128
Azure,Standard_E2s_v5,2,16384
Azure,Standard_E4-2s_v5,4,32768
Azure,Standard_E4s_v5,4,32768
Azure,Standard_E8-2s_v5,8,65536
Azure,Standard_E8-4s_v5,8,65536
Azure,Standard_E8s_v5,8,65536
Azure,Standard_E16-4s_v5,16,131072
Azure,Standard_E16-8s_v5,16,131072
Azure,Standard_E16s_v5,16,131072
Azure,Standard_E20s_v5,20,163840
Azure,Standard_E32-8s_v5,32,262144
Azure,Standard_E32-16s_v5,32,262144
Azure,Standard_E32s_v5,32,262144
Azure,Standard_E48s_v5,48,393216
Azure,Standard_E64-16s_v5,64,524288
Azure,Standard_E64-32s_v5,64,524288
Azure,Standard_E64s_v5,64,524288
Azure,Standard_E96-24s_v5,96,688128
Azure,Standard_E96-48s_v5,96,688128
Azure,Standard_E96s_v5,96,688128
Azure,Standard_E104is_v5,104,688128
Azure,Standard_E2_v5,2,16384
Azure,Standard_E4_v5,4,32768
Azure,Standard_E8_v5,8,65536
Azure,Standard_E16_v5,16,131072
Azure,Standard_E20_v5,20,163840
Azure,Standard_E32_v5,32,262144
Azure,Standard_E48_v5,48,393216
Azure,Standard_E64_v5,64,524288
Azure,Standard_E96_v5,96,688128
Azure,Standard_E104i_v5,104,688128
Azure,Standard_E2bs_v5,2,16384
Azure,Standard_E4bs_v5,4,32768
Azure,Standard_E8bs_v5,8,65536
Azure,Standard_E16bs_v5,16,131072
Azure,Standard_E32bs_v5,32,262144
Azure,Standard_E48bs_v5,48,393216
Azure,Standard_E64bs_v5,64,524288
Azure,Standard_E96bs_v5,96,688128
Azure,Standard_E112ibs_v5,112,688128
Azure,Standard_E2bds_v5,2,16384
Azure,Standard_E4bds_v5,4,32768
Azure,Standard_E8bds_v5,8,65536
Azure,Standard_E16bds_v5,16,131072
Azure,Standard_E32bds_v5,32,262144
Azure,Standard_E48bds_v5,48,393216
Azure,Standard_E64bds_v5,64,524288
Azure,Standard_E96bds_v5,96,688128
Azure,Standard_E112ibds_v5,112,688128
Azure,Standard_D2ls_v5,2,4096
Azure,Standard_D4ls_v5,4,8192
Azure,Standard_D8ls_v5,8,16384
Azure,Standard_D16ls_v5,16,32768
Azure,Standard_D32ls_v5,32,65536
Azure,Standard_D48ls_v5,48,98304
Azure,Standard_D64ls_v5,64,131072
Azure,Standard_D96ls_v5,96,196608
Azure,Standard_D2lds_v5,2,4096
Azure,Standard_D4lds_v5,4,8192
Azure,Standard_D8lds_v5,8,16384
Azure,Standard_D16lds_v5,16,32768
Azure,Standard_D32lds_v5,32,65536
Azure,Standard_D48lds_v5,48,98304
Azure,Standard_D64lds_v5,64,131072
Azure,Standard_D96lds_v5,96,196608
Azure,Standard_B2ls_v2,2,4096
Azure,Standard_B2s_v2,2,8192
Azure,Standard_B2ts_v2,2,1024
Azure,Standard_B4ls_v2,4,8192
Azure,Standard_B4s_v2,4,16384
Azure,Standard_B8ls_v2,8,16384
Azure,Standard_B8s_v2,8,32768
Azure,Standard_B16ls_v2,16,32768
Azure,Standard_B16s_v2,16,65536
Azure,Standard_B32ls_v2,32,65536
Azure,Standard_B32s_v2,32,131072
Azure,Standard_A0,1,768
Azure,Standard_A1,1,1792
Azure,Standard_A2,2,3584
Azure,Standard_A3,4,7168
Azure,Standard_A5,2,14336
Azure,Standard_A4,8,14336
Azure,Standard_A6,4,28672
Azure,Standard_A7,8,57344
Azure,Basic_A0,1,768
Azure,Basic_A1,1,1792
